PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLMI,WEIGHT,HEIGHT
Jared Dudley,LAL,35,12,7,5,6.7,0.5,0.2,0.8,22.2,0.2,0.5,33.3,0,0,0,0.3,1.4,1.8,0.4,0.2,0.1,0.1,0.6,3.6,0,0,0.2,108,198
Jaren Jackson Jr.,MEM,21,11,4,7,23.5,14.4,4.8,11.4,42.4,1.5,5.5,28.3,3.2,3.8,83.3,1.5,4.1,5.6,1.1,1.4,1.1,1.6,3.8,29.6,0,0,-5.8,110,211
Jarrell Brantley,UTA,25,28,23,5,4.9,2.3,0.9,1.9,48.1,0.4,1,42.9,0.1,0.1,100,0.3,0.6,1,0.5,0.3,0.3,0.1,0.6,4.9,0,0,-0.9,113,196
Jarrett Allen,CLE,23,63,20,43,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,3.1,6.9,10,1.7,1.6,0.5,1.4,1.5,31.6,25,0,-3.2,110,211
Jarrett Culver,MIN,22,34,7,27,14.7,5.3,2,4.9,41.1,0.4,1.6,24.5,0.9,1.4,60.4,1,2.1,3.1,0.7,0.8,0.5,0.3,1.7,11.5,1,0,-3.9,88,198
JaVale McGee,DEN,33,46,21,25,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1,1.5,65.7,1.7,3.5,5.2,0.8,1.3,0.4,1.2,2.6,18.3,1,0,-1.9,122,213
Javonte Green,CHI,27,41,19,22,11.6,3.6,1.3,2.5,52,0.2,0.7,33.3,0.7,1,75,0.6,1.1,1.7,0.4,0.5,0.7,0.1,1.1,8.3,0,0,0.4,93,193
Jaxson Hayes,NOP,21,60,24,36,16.1,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2,77.5,1.5,2.8,4.3,0.6,0.7,0.4,0.6,1.7,16,0,0,-0.4,100,211
Jay Scrubb,LAC,20,4,2,2,21,8.8,3.5,9,38.9,0.5,2.3,22.2,1.3,1.3,100,0.5,3,3.5,0.3,1.8,1,0,1.3,14.6,0,0,0.5,100,196
Jaylen Brown,BOS,24,58,30,28,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6,3.4,2.7,1.2,0.6,2.9,39.5,10,0,1.2,101,198
Jaylen Nowell,MIN,21,42,10,32,18.1,9,3.4,8,42.4,1.2,3.6,33.3,1.1,1.3,81.8,0.5,1.8,2.3,1.5,0.7,0.5,0.3,1.7,15.7,0,0,-2.4,91,193
Jayson Tatum,BOS,23,64,34,30,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,44.1,15,1,2.5,95,203
Jeff Green,BKN,34,68,44,24,27,11,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.8,0.5,0.4,1.8,20,0,0,1.7,107,203
Jeff Teague,MIL,33,55,27,28,17.3,6.7,2.2,5.2,43.3,0.7,1.5,43.9,1.6,1.9,84.8,0.3,1.3,1.6,2.4,1.2,0.6,0.2,1,13.6,0,0,1,88,191
Jerami Grant,DET,27,54,15,39,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35,5.4,6.4,84.5,0.6,4,4.6,2.8,2,0.6,1.1,2.3,35.2,3,0,-2.2,95,203
Jeremiah Martin,CLE,25,9,0,9,8.4,2.4,1,3.7,27.3,0.3,1.3,25,0.1,0.6,20,0.2,0.6,0.8,0.4,0.7,0.6,0.2,0.1,5.7,0,0,-2.9,84,188
