"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"313","TOR",7.2,28,22.8,5.7,0.2,5.8,1.3,101,201
"314","MIL",20.4,29,33.4,15.8,2.2,6,5.4,95,191
"315","HOU",16.4,25,30.6,13.2,1.8,3.6,5,88,196
"316","DET",6.8,19,25.8,7.7,0.8,2.7,5.3,100,206
"317","MEM",3.2,23,10.1,3.2,0.6,1.3,0.4,77,185
"318","NOP",6.4,20,16.7,6.2,0.7,1.3,2.3,91,208
"319","LAL",0.8,23,3.7,0.7,0,1.3,0.1,93,191
"320","ATL",1.3,27,11.4,3,0,1.5,0.5,109,221
"321","DAL",20.1,25,30.9,15.9,2.3,8.9,1.6,104,206
"322","MEM",12.4,27,27.4,9.5,1.4,5.7,3.6,76,185
"323","SAC",2.8,23,7.6,2.8,0.4,1.1,1,100,208
"324","LAL",12.9,25,28.7,11.1,2,6.1,1.9,89,183
"325","TOR",17.2,35,34.8,13,2.8,5.4,7.3,88,188
"326","BKN",26.9,29,34.9,20.1,2.8,4.8,6,98,203
"327","BKN",13.5,35,25.9,11.4,1.2,4.5,1.9,104,198
"328","CHA",15.7,19,28.8,13.2,1.8,5.9,6.1,113,211
"329","CLE",4.1,23,12.5,3.4,0.1,2.4,0.6,82,198
"330","BKN",9.3,24,23,7.5,2.1,1.8,1.6,86,193
"331","PHX",4.8,29,10.9,3.7,0.9,1.1,0.7,91,185
"332","CLE",9.3,28,31.2,7.8,1.2,6.7,3.1,111,201
"333","CHI",13.6,24,25.8,10.2,2.3,5.3,0.9,109,213
"334","LAL",25,36,33.4,18.3,2.3,7.7,7.8,113,206
"335","SAS",11.2,22,25.4,10.2,1.7,2.6,1.7,93,193
"336","NOP",14.6,23,31.8,12.7,3.1,4.8,5.7,86,198
"337","ATL",11.3,34,21.6,9.8,1,2.1,3.4,79,185
"338","SAC",7.3,22,14.2,5.7,0.7,3,1.5,93,201
"339","OKC",14,22,29.7,12.3,2.2,3.6,1.7,98,191
"340","DAL",27.7,22,34.3,20.5,2.9,8,8.6,104,201
"341","SAS",3.7,21,9.3,3.2,0.4,2.1,0.5,103,208
"342","LAC",8.3,25,19.6,6.6,1.6,2.6,1.7,93,196
"343","BOS",3.4,25,11.2,3.3,0.5,2.2,0.8,113,218
"344","TOR",7.5,23,19.7,7.2,1.1,2.5,2.9,79,185
"345","IND",21.2,28,34.5,17.5,2.6,5.3,5.9,104,196
"346","MIN",19.6,24,32.8,16.2,3.5,4.4,2.4,85,193
"347","LAC",1,23,3.6,1,0.3,1,0,104,203
"348","CHA",11.7,23,20.9,9.5,2,2.4,2.1,91,191
"349","MIL",3.1,24,10.1,2.9,0.1,2.4,0.6,103,206
"350","LAL",5,36,19.1,3.7,1,4.1,2.1,116,211
"351","LAC",13.4,31,26.3,10.2,2.5,4.1,1,99,203
"352","BOS",13.1,27,32.9,10.6,1.9,3.5,5.7,100,191
"353","ORL",12.9,23,26.9,13,0.5,3.1,5.4,95,191
"354","LAL",6.7,31,19.7,6.2,1.1,4.4,1.2,111,206
"355","DEN",2.8,22,5.5,2.9,0.5,0.6,0.5,79,178
"356","CLE",1.2,23,4.8,0.5,0,1,0,113,208
"357","GSW",6.5,23,13.4,7,0.5,6.5,1,109,206
"358","SAC",14.1,22,25.9,11.4,0.9,7.4,1,107,211
"359","PHI",5.3,22,10.5,3.8,0.8,1.7,1.3,91,193
"360","DET",10.4,31,26.8,6.8,0,9.3,3.6,115,211
"361","PHI",3.9,24,20,3.7,0.7,1.9,1,91,196
"362","UTA",3.1,26,7.3,2.8,0.6,1,0.4,86,193
"363","CLE",2.8,30,17.2,4.3,0.3,1.8,4.5,91,191
"364","SAC",5.2,28,20.9,4.5,0.6,2.4,1.2,100,201
"365","MIA",6.1,25,13,4.8,1.3,1.1,0.6,98,196
"366","DAL",7.1,29,26.8,5.5,1.7,5.2,1.4,109,208
"367","MIA",3.3,29,9.8,2.3,1,2.3,0.7,118,213
"368","CLE",2.4,23,7.2,2.3,0.3,1.5,0.4,113,206
