"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"67","POR",13.4,37,24.5,11.3,1.9,3.1,1.5,86,196
"68","BOS",4,23,8.9,3.6,0.6,0.8,0.5,84,185
"69","IND",1.5,21,3.9,1.8,0.1,0.8,0,104,201
"70","WAS",1.9,23,4.5,1.5,0.4,0.4,0.5,95,198
"71","CLE",10.4,26,25.6,9.9,1.7,3.4,2.9,90,198
"72","WAS",4.3,25,13.8,4.1,0.3,3.1,0.7,84,188
"73","OKC",4.4,24,16.9,4.8,0.6,1.9,1,102,206
"74","ORL",6.5,28,20.4,5.8,1.1,2,1.8,91,206
"75","SAC",6.3,24,13.6,5,0.4,3.1,0.8,79,180
"76","TOR",13.6,28,24.2,9.3,1.5,6.7,1.1,79,183
"77","BKN",4,25,10.6,4,0.6,1.1,3,106,203
"78","PHX",16.4,36,31.4,12.6,1.5,4.5,8.9,97,208
"79","SAC",2.1,24,6.2,1.1,0.1,1.8,0.4,104,198
"80","HOU",21,25,32.3,15.6,1.9,9.6,1.7,91,198
"81","ORL",7.8,22,25.2,7.2,1.1,4,2.2,86,191
"82","ATL",15.2,27,30.1,11,0,14.3,0.8,109,208
"83","CHI",15.1,21,31.2,13.1,2.4,4.1,4.8,88,196
"84","CHA",4,25,16.3,3.6,0.3,3.1,1.7,93,196
"85","CHA",9.4,28,20.9,6.8,0.1,6.8,1.8,109,211
"86","ORL",12.9,21,27.1,11.7,1.2,4.7,4.1,84,188
"87","CLE",24.3,22,35.3,18.4,1.6,3.1,4.4,86,185
"88","DET",8.2,29,23,6.8,0.7,2.5,3.4,91,191
"89","CHI",1.3,28,4.6,0.7,0,1.4,0.5,122,211
"90","MIN",19,25,28.5,15.5,2.9,2.6,5.8,83,180
"91","HOU",7.7,33,19.8,6,1.5,1.6,3.3,105,208
"92","HOU",5.2,25,12.4,4.8,0.9,3.2,0.7,91,193
"93","SAS",4.1,23,15.9,3.9,0.6,2.3,0.7,111,211
"94","PHI",6,25,15.4,6,1,0.9,1.6,88,188
"95","SAC",4.7,26,14,2.6,0,3.1,0.7,95,196
"96","POR",28.8,30,35.8,19.9,4.1,4.2,7.5,95,196
"97","GSW",6.5,28,18.9,4.8,1.4,3.2,1.3,88,193
"98","CLE",6.7,27,19.7,6.4,1,2,2,106,208
"99","WAS",7,22,14.7,4.2,0,4.3,0.5,109,203
"100","LAC",1.8,21,5.4,1.7,0,1.6,0.3,111,203
"101","CHI",9.6,29,24.6,7.2,0.8,5.5,1.7,106,208
"102","ATL",13.3,32,24,9.3,2,4.1,1.5,98,198
"103","PHI",9.5,34,28,7.9,2.5,3.8,1.7,97,196
"104","HOU",3.8,25,19.4,4.3,0.3,2.8,2.2,100,198
"105","HOU",8.8,28,25.9,7.6,1.5,3.7,1.9,104,196
"106","PHX",8.7,27,17.4,6.8,0.9,3.8,1.3,102,208
"107","OKC",13.7,21,31.2,12.5,1.5,7.2,1.8,94,203
"108","CLE",17.4,21,33.1,14.9,1.9,2.4,6.1,87,185
"109","OKC",4.1,31,10.9,2.7,0.9,1.3,1.2,102,198
"110","HOU",9.2,28,22.6,7.3,0.6,3.9,1,99,196
"111","WAS",11.5,28,25.7,8.4,3,2.9,0.9,102,208
"112","SAC",25.2,23,35.1,19.1,1.8,3.5,7.2,84,191
"113","ATL",15,23,29.5,10.8,1.3,4.8,1.9,103,206
"114","MEM",9.1,23,20.1,7.6,1.7,3.1,2.5,113,211
"115","BKN",7.5,32,21.9,4.4,0,7.5,1.6,95,196
"116","TOR",5.7,26,19.1,4.5,0.3,2.9,2.1,102,203
"117","SAS",21.6,31,33.7,15.1,0.3,4.2,6.9,120,211
"118","LAC",8.9,30,17.4,7.4,1.1,6.4,1.9,91,188
"119","CLE",6,24,19.2,4.9,1.2,3.4,1.2,86,203
"120","PHX",14.4,22,30.6,10,0.1,10.5,1.4,82,193
"121","DET",2.1,21,6.7,2,0.5,1.5,0.3,84,196
"122","SAS",15.7,24,31.9,14.5,0.9,7.1,5.4,100,198
"123","SAC",10.2,29,27.7,8.2,1,4.3,4.4,122,208
"124","WAS",6.3,20,23.3,5.8,1,4.9,1.2,95,206
"125","LAL",15.4,27,32.1,12.5,1.2,3.5,5.8,78,191
"126","DET",6.7,23,18.3,6.3,0.8,2.4,3.3,93,188
"127","CHI",6.5,27,16.7,6.7,1.3,3.2,1.7,100,193
"128","UTA",5.4,29,15.3,3.6,0,5.5,0.6,120,206
"129","POR",6.8,24,22.7,5.2,0.7,3.5,0.8,95,196
"130","NYK",14.7,32,25.6,12.2,1,2.6,4.2,91,188
"131","SAS",15.4,26,29.5,12.6,2.3,3,3.5,86,193
"132","MEM",9.2,23,22.3,7.3,1.7,3.1,1.7,98,196
"133","PHX",25.6,24,33.9,19.2,1.9,4.2,4.3,93,196
"134","ORL",4.3,25,9.3,3.5,0.8,0.6,0.1,83,188
"135","SAS",5.5,20,17,4.9,0.8,2.8,0.9,91,196
"136","CHI",2.1,21,4.6,1.9,0.1,0.5,0.6,84,188
"137","LAL",2,24,4.9,1.5,0,1.6,0.1,109,201
"138","CHA",14.8,26,30.2,12.2,3.3,2.7,5.4,88,185
"139","MIA",7.1,31,13.2,4.1,0.1,5.4,0.8,111,213
"140","NOP",2.7,21,18.8,4.3,0.7,1,1,85,196
"141","MEM",17.2,25,29.8,15.4,1.9,2.9,2.3,102,201
"142","IND",20.3,25,36,14.6,0.8,12,6.7,109,211
"143","UTA",26.4,24,33.4,20.6,3.4,4.4,5.2,98,185
"144","ORL",5.6,23,13.8,2.7,0,4.8,0.8,104,208
"145","MIL",10.4,24,27.5,9.1,2,5.8,3.1,92,193
"146","DAL",9.8,28,32,7.8,2,5.4,1.7,100,201
"147","IND",13.6,29,24.5,10.1,1.7,3.3,1.3,102,201
"148","GSW",7,31,31.5,6,0.5,7.1,8.9,104,198
"149","SAS",5.8,24,14,3.8,0,4.5,0.8,111,206
"150","MIA",13.1,27,31.4,10,3.5,3.5,1.8,98,201
"151","ORL",10.9,25,25.7,10.1,0.8,3.1,1.3,100,198
"152","PHI",7,35,17.3,4.4,0.1,8.4,0.9,120,208
"153","DAL",5.9,29,16.6,3.3,0.1,4,1.1,109,208
"154","CLE",5.2,24,16.5,4.2,0.8,3.5,1.1,89,198
"155","PHX",4.9,32,14.4,4.5,0.4,1.7,1.5,99,206
"156","MIN",2.1,32,13,1.9,0,5,0.9,89,193
"157","IND",7.5,25,16.2,5.3,0.7,1.8,0.9,88,191
"158","NYK",10.1,27,23.6,9.9,0.4,3.4,3.2,95,196
"159","MIL",16,26,31.6,13,1,6,3,98,196
"160","UTA",1.7,23,3.5,1.7,0.4,0.5,0.3,113,208
"161","POR",11.2,29,24.4,7.8,0,11,1.2,97,185
"162","NOP",12.2,31,29.7,10.3,1.7,3.4,3.8,98,191
"163","HOU",17.8,32,29.2,13.6,2.6,2.1,2.6,116,198
"164","GSW",9.5,24,17.4,7.5,0.5,3.2,1.3,107,206
"165","UTA",3.8,34,8.7,3.2,1.1,1.7,0.2,87,191
"166","BOS",17.1,28,30,12.9,2.8,3,3.4,93,201
"167","DEN",6.1,30,21.9,4.8,1.2,2.1,3.6,88,178
"168","DET",9.8,23,18.5,7.3,1.5,2.2,0.9,93,191
"169","PHX",6.6,28,15.2,5.5,0.7,4,1.7,109,213
"170","ORL",6.3,27,19.8,6,0.5,3,3,86,180
"171","NYK",2.7,22,9.8,2.4,0.7,0.9,0.6,91,193
"172","TOR",19.6,27,36.5,16.7,3.3,4.2,6.3,89,185
"173","TOR",5.6,24,19.6,4.2,0,4.9,0.5,111,206
"174","PHI",9.1,23,19.3,7.7,1.8,2.1,1.5,92,201
"175","MIA",4.8,25,13.1,4.7,0.9,1.1,1.3,91,191
"176","OKC",8.4,26,21.2,6.7,0.2,4,2.4,105,198
"177","CHI",7.6,35,27.3,6.8,1.2,2.9,2.2,88,196
"178","WAS",5.5,24,16.2,3.7,1.2,1.4,0.4,98,196
"179","PHI",3.1,26,16.8,3.4,0.8,2.9,0.8,102,198
"180","ORL",9.9,26,27.7,8.8,1.2,2,2,95,193
"181","GSW",2.5,28,4,1.3,0.2,1.1,0.1,88,191
"182","TOR",15.3,22,31.1,13.5,2.8,2.6,1.4,95,196
"183","PHI",8.7,35,22.4,6.6,1,2,2.4,85,193
"184","UTA",6.9,28,16,5.6,1.7,2.4,0.8,104,201
"185","MIL",28.1,26,33,18,1.1,11,5.9,110,211
"186","SAC",5.3,27,16.1,4.3,0.7,2,0.9,101,198
"187","IND",5.1,21,12.5,4.3,0.4,3.3,0.8,113,211
"188","MIA",13.4,35,26.7,11.1,1.8,3.4,4.4,86,191
"189","CHA",19.6,31,34,15,1.9,5.9,4.1,102,201
"190","SAS",6.8,31,14.5,4.3,0.8,3.7,1.3,114,208
"191","CHA",2.6,24,3.9,1.7,0.3,0.1,0.4,86,188
"192","BOS",4.7,22,18.1,3.9,0.8,2.8,1,107,198
"193","MEM",10.6,25,25.2,8.3,2.1,3.2,2.2,90,193
"194","DEN",0,28,3,0.8,0,0,0,95,203
"195","DET",11.6,22,23.6,9,0.5,5.2,1.9,92,196
"196","SAC",16.1,29,36.2,11.1,1.7,6.6,3.5,102,203
"197","POR",2.8,23,9.2,2.6,0.2,3.5,0.8,109,211
"198","SAC",8.1,32,15.2,6.2,0,6,0.6,120,213
"199","TOR",7.5,24,19.2,7,1,6,2.5,109,208
"200","ORL",7,22,19.1,6.4,0.8,3.5,1.3,100,198
"201","BKN",1,31,5.5,2,0,0.5,0,96,196
"202","NYK",11.4,22,19.4,9.1,1.8,2.1,2,86,191
"203","WAS",2,21,10.8,2,0.3,1.7,0.6,82,203
"204","CLE",9.6,20,32.4,8.3,0.9,3.1,1.9,102,196
"205","CLE",5.1,23,12.1,3.7,0,3.9,1.2,113,213
"206","PHI",3.7,21,9.3,3.2,1,0.9,0.5,75,193
"207","OKC",8.7,23,23.4,7,0.5,5.6,1.8,104,203
"208","DET",7.9,20,21.4,6,0.3,6.7,0.9,113,203
"209","NOP",7.7,32,16.1,9,1,1.3,1.7,84,175
"210","WAS",6.7,32,21,6.8,0.4,3.4,3.9,79,183
"211","LAC",9,24,22.3,5.5,0,7.2,1.3,109,213
"212","DAL",7.4,37,16.4,6.1,1.5,1.5,1.2,79,191
"213","MEM",19.1,21,32.6,15.2,1.2,4,7.4,111,203
"214","IND",4.6,28,10.9,3.9,0.1,2.7,0.1,84,206
"215","DEN",8.1,31,19.3,6.4,1.4,4.8,0.9,107,198
"216","DEN",7.3,33,14.7,6.1,0.1,5.2,0.8,104,193
"217","BOS",5.5,26,12.7,4.2,0.2,3.2,0.8,122,208
"218","MIN",6.8,20,24,5.8,1.1,3.7,1.1,86,191
"219","PHX",10.1,30,27.5,8.2,2.5,4.7,2.1,97,201
"220","HOU",11.3,25,29.2,8.9,0.9,5.3,2.5,95,203
"221","DET",5.4,25,12.9,3.8,0.1,2.4,0.5,111,216
"222","SAC",3.1,20,7.3,2.9,0.4,0.8,0.5,86,185
"223","MIN",5.1,27,13.9,4.1,0.5,1.5,0.6,88,196
"224","SAS",8.6,25,26.7,6.2,0,7.9,1.9,84,193
