"","PTS","AGE","MIN","FGA","X3PM","REB","AST","WEIGHT","HEIGHT"
"182",19.1,21,32.6,15.2,1.2,4,7.4,79,191
"183",5.5,26,12.7,4.2,0.2,3.2,0.8,111,203
"184",6.8,20,24,5.8,1.1,3.7,1.1,84,206
"185",10.1,30,27.5,8.2,2.5,4.7,2.1,107,198
"186",11.3,25,29.2,8.9,0.9,5.3,2.5,104,193
"187",5.4,25,12.9,3.8,0.1,2.4,0.5,122,208
"188",3.1,20,7.3,2.9,0.4,0.8,0.5,86,191
"189",4.6,28,10.9,3.9,0.1,2.7,0.1,97,201
"190",5.1,27,13.9,4.1,0.5,1.5,0.6,95,203
"191",12.6,24,25,9.2,1.2,3.4,3.5,86,185
"192",7.4,22,13.2,5.5,1.3,1.4,1.3,88,196
"193",7.4,23,19.2,6,0.7,3.6,1.1,93,206
"194",2,21,5.8,1.9,0.1,1.4,0.1,98,208
"195",21.2,24,35.5,16.5,2.7,4,4.8,98,191
"196",8.4,30,24.1,5.9,1.1,4,1.5,98,198
"197",24.6,31,36.6,16.7,2.8,7.9,10.8,100,196
"198",7.2,34,20.5,6.4,0.6,3.5,1.9,109,201
"199",1.7,30,5.3,1.4,0.4,1,0.3,93,201
"200",11.5,20,21.4,9.4,0.3,5.8,0.7,109,213
"201",8.1,31,19.3,6.4,1.4,4.8,0.9,103,203
"202",0.5,35,6.7,0.8,0.2,1.8,0.4,108,198
"203",14.4,21,23.5,11.4,1.5,5.6,1.1,110,211
"204",2.3,25,4.9,1.9,0.4,1,0.5,113,196
"205",12.8,23,29.6,7.7,0.1,10,1.7,110,211
"206",5.3,22,14.7,4.9,0.4,3.1,0.7,88,198
"207",7.3,33,14.7,6.1,0.1,5.2,0.8,122,213
"208",3.6,27,11.6,2.5,0.2,1.7,0.4,93,193
"209",7.5,21,16.1,4.7,0.1,4.3,0.6,100,211
"210",8.8,20,21,9,0.5,3.5,0.3,100,196
"211",24.7,24,34.5,19.2,2.8,6,3.4,101,198
"212",9,21,18.1,8,1.2,2.3,1.5,91,193
"213",26.4,23,35.8,20.6,2.9,7.4,4.3,95,203
"214",11,34,27,7.8,1.5,3.9,1.6,107,203
"215",6.7,33,17.3,5.2,0.7,1.6,2.4,88,191
"216",22.3,27,33.9,17.3,2.1,4.6,2.8,95,203
"217",2.4,25,8.4,3.7,0.3,0.8,0.4,84,188
"218",10.1,29,21.3,7.7,1.4,3.6,1.5,82,196
"219",4.9,24,17.9,5.6,0.6,2.2,1.5,86,193
"220",4.1,25,11.9,3.7,0.9,1.5,1.2,91,185
"221",21.5,31,33.6,14.2,0.5,6.9,7.1,104,201
"222",7.4,37,16.4,6.1,1.5,1.5,1.2,91,191
"223",14.1,29,31,10.2,3.1,3.6,1.9,100,198
"224",12.1,33,27.9,8.4,2.7,3.6,4.7,100,203
"225",28.5,27,31.1,17.6,1.1,10.6,2.8,127,213
"226",17.6,23,29.3,12.2,1.3,7.4,1.2,107,206
"227",4.3,25,13.4,3.2,0.5,3,1.1,95,196
"228",20.6,30,32.2,18.2,2,3.2,6.9,95,191
"229",17.1,29,28.3,12,0.3,12.5,1.8,120,211
"230",2,21,4.9,1.4,0.3,1.3,0.1,109,211
"231",4,23,14,3.9,0.7,1.7,1.3,82,188
"232",18.4,29,26.7,15.8,3.1,4,2.5,88,193
"233",5,25,18.4,4.7,0.6,2.1,3.8,84,180
"234",5.7,22,9.1,4.5,0.9,2,0.2,102,203
"235",12,22,19.4,9.3,1.9,1.8,1.9,88,193
"236",2.6,20,11.4,2.4,0.1,2,0.7,91,196
"237",4.1,20,16,4.7,0.2,2.8,1.3,86,206
"238",9.2,26,28.7,7.3,1.3,8,2.3,98,196
"239",13.4,24,25.2,11.4,1.2,4.1,2.3,94,203
"240",5.4,22,20.3,4.3,0.5,2.6,1.1,97,193
"241",12.1,27,30.3,10.5,1.5,3.3,2.6,91,196
"242",17.7,31,32.3,13.9,1.9,4.5,6.1,93,191
"243",5.7,28,20.9,3.9,0.7,4.4,2.8,95,198
"244",7.2,25,17.3,5.8,1.1,3.9,0.7,97,206
"245",24.1,26,37.6,18.6,2.3,10.2,6,113,203
"246",10.5,32,30.3,8.7,2.4,3.6,1.7,82,198
"247",7.2,26,17,6.5,1.1,2.3,1.5,100,203
"248",3.9,24,8.6,3.1,0.4,0.8,0.6,86,201
"249",5.4,24,19,5.4,0.7,3.8,1.1,109,211
